city,date,state,temperature,precipitation,windspeed,injuries_total,fatalities
chicago,2025-04-21,illinois,,,,1,0
chicago,2025-04-21,illinois,,,,1,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,3,0
chicago,2025-04-21,illinois,,,,3,0
chicago,2025-04-21,illinois,,,,3,0
chicago,2025-04-21,illinois,,,,3,0
chicago,2025-04-21,illinois,,,,3,0
chicago,2025-04-21,illinois,,,,3,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,2,0
chicago,2025-04-21,illinois,,,,2,0
chicago,2025-04-21,illinois,,,,2,0
chicago,2025-04-21,illinois,,,,2,0
chicago,2025-04-21,illinois,,,,2,0
chicago,2025-04-21,illinois,,,,2,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,1,0
chicago,2025-04-21,illinois,,,,1,0
chicago,2025-04-21,illinois,,,,1,0
chicago,2025-04-21,illinois,,,,1,0
chicago,2025-04-21,illinois,,,,1,0
chicago,2025-04-21,illinois,,,,1,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,1,0
chicago,2025-04-21,illinois,,,,1,0
chicago,2025-04-21,illinois,,,,1,0
chicago,2025-04-21,illinois,,,,1,0
chicago,2025-04-21,illinois,,,,1,0
chicago,2025-04-21,illinois,,,,1,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,1,0
chicago,2025-04-21,illinois,,,,1,0
chicago,2025-04-21,illinois,,,,1,0
chicago,2025-04-21,illinois,,,,1,0
chicago,2025-04-21,illinois,,,,1,0
chicago,2025-04-21,illinois,,,,1,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,4,0
chicago,2025-04-21,illinois,,,,4,0
chicago,2025-04-21,illinois,,,,4,0
chicago,2025-04-21,illinois,,,,4,0
chicago,2025-04-21,illinois,,,,4,0
chicago,2025-04-21,illinois,,,,4,0
chicago,2025-04-21,illinois,,,,1,0
chicago,2025-04-21,illinois,,,,1,0
chicago,2025-04-21,illinois,,,,1,0
chicago,2025-04-21,illinois,,,,1,0
chicago,2025-04-21,illinois,,,,1,0
chicago,2025-04-21,illinois,,,,1,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,1,0
chicago,2025-04-21,illinois,,,,1,0
chicago,2025-04-21,illinois,,,,1,0
chicago,2025-04-21,illinois,,,,1,0
chicago,2025-04-21,illinois,,,,1,0
chicago,2025-04-21,illinois,,,,1,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
chicago,2025-04-21,illinois,,,,0,0
